Contig	contig_length	provirus	proviral_length	gene_count	viral_genes	host_genes	checkv_quality	miuvig_quality	completeness	completeness_method	contamination	kmer_freq	warnings	ckv_partial	ckv_nucl_range	vs2_region	vs2_dsDNAphage	vs2_ssDNA	vs2_NCLDV	vs2_RNA	vs2_lavidaviridae	vs2_max_score	vs2_max_score_group	vs2_hallmark	vs2_viral	vs2_cellular	vs2_nucl_range	vs2_orf_range	vb_lifestyle	vb_partial	vb_nucl_range	vb_prot_range	vb_isPhage	dvf_v_score	dvf_pvalue	gn_topology	gn_coordinates	gn_partial	gn_genes	gn_genetic_code	gn_hallmarks	gn_marker_enrichment	gn_taxonomy	gn_v_score	gn_fdr	is_provirus	provirus_range	provirus_source	host_rate
NC_073751.1_frag_0_6113	6113	No		10	0	0	Medium-quality	Genome-fragment	89.36	AAI-based (high-confidence)	0.0	1.0	no viral genes detected			full	1.0	0.087	0.347	0.03	0.253	1.0	dsDNAphage	5.0	90.0	10.0	1-6112	1-10	lytic				1.0	0.4916171431541443	0.0684908225696804	No terminal repeats			10.0	11.0	4.0	9.1721	Viruses;Monodnaviria;Loebvirae;Hofneiviricota;Faserviricetes;Tubulavirales;Inoviridae	0.9728		0			0.0
NC_076503.1_frag_0_5402	5402	No		1	1	0	Low-quality	Genome-fragment	34.4	AAI-based (high-confidence)	0.0	1.0																						0.4818519949913025	0.0731739557368381	No terminal repeats			1.0	11.0	1.0	1.7183	Viruses;Riboviria;Orthornavirae;Kitrinoviricota;Alsuviricetes;Martellivirales;Closteroviridae	0.9706		0			0.0
NC_076503.1_frag_5402_15402	10000	No		8	7	0	Medium-quality	Genome-fragment	62.74	AAI-based (high-confidence)	0.0	1.0				full	0.467	0.007	0.16	0.995	0.08	0.995	RNA	1.0	12.5	0.0	2-9998	1-8						0.3633836507797241	0.1049550570284764	No terminal repeats			8.0	11.0	5.0	10.3027	Viruses;Riboviria;Orthornavirae;Kitrinoviricota;Alsuviricetes;Martellivirales;Closteroviridae	0.9678		0			0.0
NC_077100.1_frag_0_9720	9720	No		6	1	0	High-quality	High-quality	99.45	AAI-based (medium-confidence)	0.0	1.0				full	0.787	0.153	0.507	0.985	0.807	0.985	RNA	1.0	16.7	0.0	1-9720	1-6						0.5924177169799805	0.0433567489991691	No terminal repeats			6.0	11.0	1.0	1.7183	Viruses;Riboviria;Orthornavirae;Negarnaviricota;Monjiviricetes;Mononegavirales;	0.8701		0			0.0
NC_112206.1_frag_0_9994	9994	No		16	15	0	Low-quality	Genome-fragment	24.77	AAI-based (high-confidence)	0.0	1.0				full	0.993	0.3	0.32	0.175	0.553	0.993	dsDNAphage	12.0	87.5	0.0	19-9993	1-16	lytic				1.0	0.9898088574409484	0.0074590225847873	No terminal repeats			16.0	11.0	9.0	19.977	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	0.9812		0			0.0
NC_112206.1_frag_9994_18637	8643	No		5	4	0	Low-quality	Genome-fragment	21.41	AAI-based (high-confidence)	0.0	1.0				full	1.0	0.553	0.92	0.16	0.96	1.0	dsDNAphage	3.0	80.0	0.0	3-8642	1-5	lytic				1.0	0.9453670978546144	0.0141627011103557	No terminal repeats			5.0	11.0	3.0	7.8101	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	0.9803		0			0.0
NC_112206.1_frag_18637_26498	7861	No		13	5	0	Low-quality	Genome-fragment	19.62	AAI-based (high-confidence)	0.0	1.0				full	0.993	0.06	0.147	0.0	0.013	0.993	dsDNAphage	1.0	69.2	7.7	3-7861	1-13	lysogenic				1.0	0.7183772325515747	0.0315356144723921	No terminal repeats			13.0	11.0	2.0	14.998	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	0.9655		0			0.0
NC_112206.1_frag_26498_34087	7589	No		19	4	0	Low-quality	Genome-fragment	18.64	AAI-based (high-confidence)	0.0	1.0				full	0.987	0.193	0.16	0.005	0.093	0.987	dsDNAphage	2.0	47.4	10.5	1-7589	1-19	lytic				1.0	0.5413265228271484	0.0502681471410227	No terminal repeats			19.0	11.0	1.0	23.7822	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	0.9523		0			0.0
NC_112206.1_frag_34087_39435	5348	No		13	7	0	Low-quality	Genome-fragment	13.37	AAI-based (high-confidence)	0.0	1.0				full	0.96	0.267	0.473	0.095	0.227	0.96	dsDNAphage	0.0	61.5	0.0	1-5346	1-13	lytic				1.0	0.9924801588058472	0.0068358637359317	No terminal repeats			13.0	11.0	1.0	14.7922	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	0.9773		0			0.0
NC_076955.1_frag_0_5272	5272	No		1	0	0	Low-quality	Genome-fragment	35.23	AAI-based (high-confidence)	0.0	1.04	no viral genes detected																					0.4386571049690246	0.0865813127879749	No terminal repeats			1.0	11.0	1.0	1.7114	Viruses;Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Picornavirales;Secoviridae	0.8785		0			0.0
